0:0:0:0:0:0:0:1 - - [11/Jun/2023:01:43:04 +0530] "GET /Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [11/Jun/2023:01:43:04 +0530] "GET /Project4/doc/module-search-index.zip HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [11/Jun/2023:01:43:04 +0530] "GET /Project4/doc/module-search-index.js HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [11/Jun/2023:01:43:04 +0530] "GET /Project4/doc/tag-search-index.zip HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [11/Jun/2023:01:43:04 +0530] "GET /Project4/doc/tag-search-index.js HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [11/Jun/2023:01:43:36 +0530] "GET /Project4/LoginCtl?operation=logout HTTP/1.1" 200 3095
0:0:0:0:0:0:0:1 - - [11/Jun/2023:01:43:44 +0530] "POST /Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jun/2023:01:43:44 +0530] "GET /Project4/WelcomeCtl HTTP/1.1" 200 3329
0:0:0:0:0:0:0:1 - - [11/Jun/2023:01:43:47 +0530] "GET /Project4/ctl/UserListCtl HTTP/1.1" 200 9956
0:0:0:0:0:0:0:1 - - [11/Jun/2023:01:43:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [11/Jun/2023:01:44:12 +0530] "GET /Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [11/Jun/2023:01:44:12 +0530] "GET /Project4/doc/module-search-index.zip HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [11/Jun/2023:01:44:12 +0530] "GET /Project4/doc/tag-search-index.zip HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [11/Jun/2023:01:44:12 +0530] "GET /Project4/doc/module-search-index.js HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [11/Jun/2023:01:44:12 +0530] "GET /Project4/doc/tag-search-index.js HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [11/Jun/2023:01:44:37 +0530] "GET /Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [11/Jun/2023:01:44:37 +0530] "GET /Project4/doc/module-search-index.zip HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [11/Jun/2023:01:44:37 +0530] "GET /Project4/doc/tag-search-index.js HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [11/Jun/2023:01:44:37 +0530] "GET /Project4/doc/module-search-index.js HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [11/Jun/2023:01:44:37 +0530] "GET /Project4/doc/tag-search-index.zip HTTP/1.1" 404 870
127.0.0.1 - - [11/Jun/2023:12:57:37 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [11/Jun/2023:12:57:38 +0530] "GET /Project4/ HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [11/Jun/2023:12:58:04 +0530] "GET /Project4/WelcomeCtl HTTP/1.1" 200 1554
0:0:0:0:0:0:0:1 - - [11/Jun/2023:12:58:06 +0530] "GET /Project4/LoginCtl HTTP/1.1" 200 3072
0:0:0:0:0:0:0:1 - - [11/Jun/2023:12:58:16 +0530] "POST /Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jun/2023:12:58:16 +0530] "GET /Project4/WelcomeCtl HTTP/1.1" 200 3329
